Complemento Pago,,PI,No.,Fecha,Fecha Afectaci�n,Cliente,Descripci�n,Subtotal,Impuestos,Total,Cobrado,Saldo,Divisa,ID Operacion,UUID
Timbrado,0,6,,22/09/2023,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',13650,2184,15834,15834,1.82E-12,Peso mexicano,10451,F94C4EB2-A2B2-4F0F-9CB3-9847B061F7BE
Timbrado,0,2,,22/09/2023,,IMPULSORA DE MERCADOS DE MEXICO,Pago Cliente 'IMPULSORA DE MERCADOS DE MEXICO',2700,432,3132,3132,0,Peso mexicano,10450,260370AA-9C62-49FF-997B-30E3C66D5A0F
Timbrado,0,2,,19/09/2023,,SOLUCIONES EN MEDIOS MASIVOS,Pago Cliente 'SOLUCIONES EN MEDIOS MASIVOS',19200,3072,22272,22272,0,Peso mexicano,10449,2ED8FFEB-84E7-4531-BF43-431F387E25BB
Timbrado,0,2,,14/09/2023,,GRUPO BOXITO,Pago Cliente 'GRUPO BOXITO',25515,4082.4,29597.4,29597.4,0,Peso mexicano,10448,15BC20C9-C0D7-45F6-816F-06D660E5E357
Timbrado,0,2,,12/09/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',32115,5138.4,37253.4,37253.4,0,Peso mexicano,10446,2EBC67C2-2CA5-44A2-A09B-9BB668A3738F
Timbrado,0,2,,12/09/2023,,JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATAN,Pago Cliente 'JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATAN',22202,3552.32,25754.32,25754.32,0,Peso mexicano,10447,1A7B628C-598C-49F6-8F4B-8B45D790AA41
Timbrado,0,2,,07/09/2023,,SERVICIOS DE SALUD DE YUCATAN,Pago Cliente 'SERVICIOS DE SALUD DE YUCATAN',35204.5,5632.72,40837.22,40837.22,0,Peso mexicano,10445,B3A7A27A-826E-4D38-A5D2-0CCF6EA156C0
Timbrado,0,4,,06/09/2023,,SUPER SAN FRANCISCO DE ASIS,Pago Cliente 'SUPER SAN FRANCISCO DE ASIS',8817,1410.72,10227.72,10227.72,0,Peso mexicano,10444,B87A6946-D6E9-4E78-99B3-4F775DB0CC2B
Timbrado,0,2,,01/09/2023,,IMPULSORA DE MERCADOS DE MEXICO,Pago Cliente 'IMPULSORA DE MERCADOS DE MEXICO',2700,432,3132,3132,0,Peso mexicano,10443,9BF367A8-2438-4C74-92B9-AD60F873DC4F
Timbrado,0,2,,30/08/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',4040.9375,646.55,4687.5,4687.5,0,Peso mexicano,10405,0E69298A-55C9-48CC-9D25-45F2ACA19968
Opcional,0,2,,29/08/2023,29/08/2023,IKTAN MOVIL,Cobro Cliente IKTAN MOVIL,9900,1584,11484,11484,0,Peso mexicano,10412,
Opcional,0,2,,25/08/2023,25/08/2023,DIGITAL CEL,Cobro Cliente DIGITAL CEL,35100,5616,40716,40716,0,Peso mexicano,10411,
Timbrado,0,2,,24/08/2023,,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN,Pago Cliente 'SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN',15872,2539.52,18411.52,18411.52,0,Peso mexicano,10404,0677083A-9137-4F51-A3F7-DD9E00FDAA7B
Timbrado,0,2,,21/08/2023,,SERVICIOS DE SALUD DE YUCATAN,Pago Cliente 'SERVICIOS DE SALUD DE YUCATAN',25345,4055.2,29400.2,29400.2,0,Peso mexicano,10402,76CE3B6B-E189-4EAB-BBB2-66DD5F3C75DD
Timbrado,0,2,,21/08/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',4040.9375,646.55,4687.5,4687.5,0,Peso mexicano,10401,304B32C0-9A73-44C3-9CF3-2F21C601CFBF
Timbrado,0,2,,17/08/2023,,JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATAN,Pago Cliente 'JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATAN',21824,3491.84,25315.84,25315.84,0,Peso mexicano,10399,E9D694D7-C4AF-4C6E-B346-C7ECBD0D8EA5
Timbrado,0,2,,17/08/2023,,INSTITUTO DEL DEPORTE DEL ESTADO DE YUCATAN,Pago Cliente 'INSTITUTO DEL DEPORTE DEL ESTADO DE YUCATAN',40215,6434.4,46649.4,46649.4,0,Peso mexicano,10400,186E5EE6-371A-4683-809C-1589ECF77553
Timbrado,0,2,,10/08/2023,,GRUPO BOXITO,Pago Cliente 'GRUPO BOXITO',24489,3918.24,28407.24,28407.24,0,Peso mexicano,10398,214C2C69-7940-47FD-9B5F-68E4B0813321
Timbrado,0,2,,07/08/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',80148.5,12823.76,92972.26,92972.26,0,Peso mexicano,10397,13059BD7-F739-4729-A631-EBE22C16C4C4
Timbrado,0,3,,03/08/2023,,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN,Pago Cliente 'SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN',63488,10158.08,73646.08,73646.08,0,Peso mexicano,10396,E0218503-FD4B-450D-AA77-EF1227304E01
Timbrado,0,2,,01/08/2023,,SUPER SAN FRANCISCO DE ASIS,Pago Cliente 'SUPER SAN FRANCISCO DE ASIS',570,91.2,661.2,661.2,0,Peso mexicano,10403,A7A4A9C1-724B-49F1-A2A6-E764A18AB18F
Timbrado,0,2,,28/07/2023,,IMPULSORA DE MERCADOS DE MEXICO,Pago Cliente 'IMPULSORA DE MERCADOS DE MEXICO',2700,432,3132,3132,0,Peso mexicano,10164,D684E1D5-0735-4D55-BEE0-1DF052EB31DB
Timbrado,0,6,,28/07/2023,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',16740,2678.4,19418.4,19418.4,0,Peso mexicano,10165,BECF706A-C597-4483-86EE-B9A473109139
Timbrado,0,2,,27/07/2023,,INSTITUTO DEL DEPORTE DEL ESTADO DE YUCATAN,Pago Cliente 'INSTITUTO DEL DEPORTE DEL ESTADO DE YUCATAN',21554,3448.64,25002.64,25002.64,0,Peso mexicano,10163,8267B924-FC54-4A79-850A-965163123F0F
Opcional,0,2,,26/07/2023,26/07/2023,IKTAN MOVIL,Cobro Cliente IKTAN MOVIL,55412.5,8866,64278.5,64278.5,0,Peso mexicano,10166,
Opcional,0,2,,25/07/2023,25/07/2023,DIGITAL CEL,Cobro Cliente DIGITAL CEL,68850,11016,79866,79866,0,Peso mexicano,10347,
Timbrado,0,2,,25/07/2023,25/07/2023,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',4040.9375,646.55,4687.5,4687.5,0,Peso mexicano,10162,5D2130F1-A42A-427B-BE8B-C68DF6235369
Timbrado,0,2,,25/07/2023,25/07/2023,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',4040.9375,646.55,4687.5,4687.5,0,Peso mexicano,10161,4F2FF86F-46AE-49A6-B2ED-2A2BCB9E491A
Timbrado,0,2,,17/07/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',43103.45,6896.552,50000,50000,0,Peso mexicano,10160,E81E7885-8365-47E1-8ED9-BC1234D76678
Timbrado,0,2,,14/07/2023,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',1800,288,2088,2088,0,Peso mexicano,10159,35F03C13-6649-40B0-8A67-909EDE62A846
Timbrado,0,2,,13/07/2023,,GRUPO BOXITO,Pago Cliente 'GRUPO BOXITO',20970,3355.2,24325.2,24325.2,0,Peso mexicano,10158,0F20F468-7472-4B36-83D5-C313A54045E3
Timbrado,0,2,,07/07/2023,,IMPULSORA DE MERCADOS DE MEXICO,Pago Cliente 'IMPULSORA DE MERCADOS DE MEXICO',2700,432,3132,3132,0,Peso mexicano,10157,4309D7C4-1600-4656-9A40-A16F857051F7
Timbrado,0,2,,03/07/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',68940,11030.4,79970.4,79970.4,0,Peso mexicano,10156,45A2531F-0D12-472D-AA54-9313BD1B827E
Timbrado,0,7,,30/06/2023,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',19350,3096,22446,22446,0,Peso mexicano,10155,1A0BE38D-CD0E-4C14-8313-1E8FB7A658E1
Timbrado,0,2,,29/06/2023,,PROVIDENT MEXICO,Pago Cliente 'PROVIDENT MEXICO',22080,3532.8,25612.8,25612.8,0,Peso mexicano,10154,69FE93B5-2F01-4373-B8C4-B608A4F0DE1B
Opcional,0,2,,23/06/2023,23/06/2023,DIGITAL CEL,Cobro Cliente DIGITAL CEL,71550,11448,82998,82998,0,Peso mexicano,10279,
Timbrado,0,2,,22/06/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',33698,5391.68,39089.68,39089.68,0,Peso mexicano,10153,4D86CC8F-8639-42EE-BD1E-717FF93C6887
Timbrado,0,2,,16/06/2023,16/06/2023,SUPER SAN FRANCISCO DE ASIS,Pago Cliente 'SUPER SAN FRANCISCO DE ASIS',1156,184.96,1340.96,1340.96,0,Peso mexicano,10151,BA32985E-2DEB-4E38-A6AD-15061A55ED43
Timbrado,0,2,,09/06/2023,,IMPULSORA DE MERCADOS DE MEXICO,Pago Cliente 'IMPULSORA DE MERCADOS DE MEXICO',2700,432,3132,3132,0,Peso mexicano,10152,8BB60788-52EA-4B22-9043-999ABF467E1A
Timbrado,0,2,,08/06/2023,,GRUPO BOXITO,Pago Cliente 'GRUPO BOXITO',26280,4204.8,30484.8,30484.8,0,Peso mexicano,10150,D2656C61-3D61-44DB-A29D-8B8AC0DC8AE9
Timbrado,0,2,,29/05/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',76903.5,12304.56,89208.06,89208.06,0,Peso mexicano,10019,48F0FD3F-F222-4F77-A6D1-05225820945F
Timbrado,0,4,,26/05/2023,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',7200,1152,8352,8352,0,Peso mexicano,10013,B3022607-F73A-45DE-B33E-0F2EE3A18302
Opcional,0,2,,25/05/2023,25/05/2023,IKTAN MOVIL,Cobro Cliente IKTAN MOVIL,37125,5940,43065,43065,0,Peso mexicano,10222,
Timbrado,0,2,,24/05/2023,,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN,Pago Cliente 'SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN',50096,8015.36,58111.36,58111.36,0,Peso mexicano,10020,CAD6A9BA-3911-4249-8E97-B1B1F699E98F
Opcional,0,2,,23/05/2023,23/05/2023,DIGITAL CEL,Cobro Cliente DIGITAL CEL,40500,6480,46980,46980,0,Peso mexicano,10220,
Opcional,0,2,,23/05/2023,23/05/2023,DIGITAL CEL,Cobro Cliente DIGITAL CEL,29700,4752,34452,34452,0,Peso mexicano,10221,
Timbrado,0,2,,19/05/2023,,IMPULSORA DE MERCADOS DE MEXICO,Pago Cliente 'IMPULSORA DE MERCADOS DE MEXICO',2700,432,3132,3132,0,Peso mexicano,10022,8843E7B1-A62E-444F-866C-F3084A91217E
Timbrado,0,2,,16/05/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',104613,16738.08,121351.08,121351.08,0,Peso mexicano,10027,718C1C28-7EA7-4B37-8F40-BE52D90FDCF6
Timbrado,0,2,,12/05/2023,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',85697,13711.52,99408.52,99408.52,0,Peso mexicano,10026,F07A214D-BE0E-4A03-91D0-810CC3B81CB8
Timbrado,0,2,,04/05/2023,,GRUPO BOXITO,Pago Cliente 'GRUPO BOXITO',20097,3215.52,23312.52,23312.52,0,Peso mexicano,10017,D910AB46-3425-44CD-BDA0-9200A08B5810
Timbrado,0,9,,04/05/2023,,SUPER SAN FRANCISCO DE ASIS,Pago Cliente 'SUPER SAN FRANCISCO DE ASIS',13059,2089.44,15148.44,15148.44,0,Peso mexicano,10016,56064201-BCB4-4695-B44F-E4ED999AFB37
Timbrado,0,5,,28/04/2023,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',13500,2160,15660,15660,0,Peso mexicano,10014,F7557BC3-FDAC-4E8A-BC5C-05202719077C
Opcional,0,2,,25/04/2023,25/04/2023,IKTAN MOVIL,Cobro Cliente IKTAN MOVIL,19800,3168,22968,22968,0,Peso mexicano,10189,
Opcional,0,2,BB12,21/04/2023,21/04/2023,DIGITAL CEL,Cobro Cliente DIGITAL CEL,55350,8856,64206,64206,0,Peso mexicano,10047,
Timbrado,0,3,,21/04/2023,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',5760,921.6,6681.6,6681.6,0,Peso mexicano,10028,D829DBC1-F1CB-4D5A-A237-DE2AAA4D4A13
Opcional,0,2,BB10,20/04/2023,20/04/2023,MEDIOS ELECTRONICOS DE MERIDA,Cobro Cliente MEDIOS ELECTRONICOS DE MERIDA,50000,8000,58000,58000,0,Peso mexicano,10045,
Opcional,0,2,BB11,20/04/2023,20/04/2023,MEDIOS ELECTRONICOS DE MERIDA,Cobro Cliente MEDIOS ELECTRONICOS DE MERIDA,50000,8000,58000,58000,0,Peso mexicano,10046,
Opcional,0,2,BB9,19/04/2023,19/04/2023,MEDIOS ELECTRONICOS DE MERIDA,Cobro Cliente MEDIOS ELECTRONICOS DE MERIDA,20000,3200,23200,23200,0,Peso mexicano,10044,
Timbrado,0,2,,13/04/2023,,GRUPO BOXITO,Pago Cliente 'GRUPO BOXITO',20556,3288.96,23844.96,23844.96,0,Peso mexicano,10015,EB0B6D3F-A014-4791-9D55-35343BD3916E
Opcional,0,2,BB8,28/03/2023,28/03/2023,IKTAN MOVIL,Cobro Cliente IKTAN MOVIL,18562.5,2970,21532.5,21532.5,0,Peso mexicano,10043,
Timbrado,0,6,,24/03/2023,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',15930,2548.8,18478.8,18478.8,-3.64E-12,Peso mexicano,10025,219385ED-1C07-49FD-9107-CD92306D9C32
Timbrado,0,2,,23/03/2023,,GRUPO BOXITO,Pago Cliente 'GRUPO BOXITO',13680,2188.8,15868.8,15868.8,0,Peso mexicano,10011,94F6673D-AEC4-421B-92BF-DB92F654432F
Timbrado,0,3,,22/03/2023,,SUPER SAN FRANCISCO DE ASIS,Pago Cliente 'SUPER SAN FRANCISCO DE ASIS',2720,435.2,3155.2,3155.2,0,Peso mexicano,10024,6C24E106-EA85-468A-B096-C31D9F544012
Timbrado,0,2,,17/03/2023,,SUPER SAN FRANCISCO DE ASIS,Pago Cliente 'SUPER SAN FRANCISCO DE ASIS',1188,190.08,1378.08,1378.08,0,Peso mexicano,10029,DB34F56D-5D8B-4E8B-9C2A-FC3ECFEE44A5
Timbrado,0,2,,15/03/2023,,PROVIDENT MEXICO,Pago Cliente 'PROVIDENT MEXICO',17664,2826.24,20490.24,20490.24,0,Peso mexicano,10012,F0879CA5-FF87-4711-AD63-FFF97BA0B15A
Opcional,0,2,BB7,10/03/2023,10/03/2023,SERVICIOS DE SALUD DE YUCATAN,Cobro Cliente SERVICIOS DE SALUD DE YUCATAN,129140,20662.4,149802.4,149802.4,0,Peso mexicano,10042,
Timbrado,0,2,,01/03/2023,,BEBIDAS PURIFICADAS,Pago Cliente 'BEBIDAS PURIFICADAS',36720,5875.2,42595.2,42595.2,0,Peso mexicano,10035,E016BCA9-D13B-42DA-B99E-9C2FC9706AF2
Opcional,0,2,,25/02/2023,25/02/2023,IKTAN MOVIL,Cobro Cliente IKTAN MOVIL,21175,3388,24563,24563,0,Peso mexicano,10175,
Timbrado,0,12,,23/02/2023,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',32400,5184,37584,37584,0,Peso mexicano,10018,EE3B7480-D021-48B1-B85A-0012D5C366E4
Timbrado,0,5,,17/02/2023,,SUPER SAN FRANCISCO DE ASIS,Pago Cliente 'SUPER SAN FRANCISCO DE ASIS',5676,908.16,6584.16,6584.16,0,Peso mexicano,10021,37016A8C-9667-45E8-BFF8-317BC8C02825
Timbrado,0,2,,15/02/2023,,BEBIDAS PURIFICADAS,Pago Cliente 'BEBIDAS PURIFICADAS',71400,11424,82824,82824,0,Peso mexicano,10033,95931058-B662-4C28-BFAA-E4A3DC893464
Opcional,0,2,BB6,13/02/2023,13/02/2023,MUNICIPIO DE KANASIN,Cobro Cliente MUNICIPIO DE KANASIN,10400,1664,12064,12064,0,Peso mexicano,10041,
Timbrado,0,2,,09/02/2023,,GRUPO BOXITO,Pago Cliente 'GRUPO BOXITO',16380,2620.8,19000.8,19000.8,0,Peso mexicano,10023,3BBA6EBA-0F93-4AC9-B7C4-B0E67974A0B6
Timbrado,0,2,,01/02/2023,,SUPER SAN FRANCISCO DE ASIS,Pago Cliente 'SUPER SAN FRANCISCO DE ASIS',18198,2911.68,21109.68,21109.68,0,Peso mexicano,10034,B2D20F40-002E-48AD-B8E4-ED852172B69F
Opcional,0,2,BB5,28/01/2023,28/01/2023,DIGITAL CEL,Cobro Cliente DIGITAL CEL,49950,7992,57942,57942,0,Peso mexicano,10040,
Opcional,0,2,BB4,26/01/2023,26/01/2023,IKTAN MOVIL,Cobro Cliente IKTAN MOVIL,6372.413793,1019.586207,7392,7392,0,Peso mexicano,10039,
Opcional,0,2,BB3,25/01/2023,25/01/2023,IKTAN MOVIL,Cobro Cliente IKTAN MOVIL,39827.58621,6372.413793,46200,46200,0,Peso mexicano,10038,
Opcional,0,2,BB2,18/01/2023,18/01/2023,MEDIOS ELECTRONICOS DE MERIDA,Cobro Cliente MEDIOS ELECTRONICOS DE MERIDA,20000,3200,23200,23200,0,Peso mexicano,10037,
Opcional,0,2,BB1,06/01/2023,06/01/2023,SERVICIOS DE SALUD DE YUCATAN,Cobro Cliente SERVICIOS DE SALUD DE YUCATAN,85488,13678.08,99166.08,99166.08,0,Peso mexicano,10036,
Timbrado,0,2,,05/01/2023,05/01/2023,GRUPO BOXITO,Pago Cliente 'GRUPO BOXITO',17010,2721.6,19731.6,19731.6,0,Peso mexicano,10030,0A57D3EE-7ECF-4220-A982-43E7811DC2EF
Timbrado,0,2,,03/01/2023,03/01/2023,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',4000,640,4640,4640,0,Peso mexicano,10031,F1E19A53-93AC-4D61-A159-4323E03E9307
Timbrado,0,0,,30/12/2022,,IMPULSORA DE MERCADOS DE MEXICO,Pago Cliente 'IMPULSORA DE MERCADOS DE MEXICO',2700,432,3132,3132,0,Peso mexicano,10032,9156016D-C398-43E5-8EA0-09BC5BDBAC84
